State, State Code, Cities,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,
Andhra Pradesh,AP,Anantapur,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,8,8,9,9,9,12,13,16,18,20,22,23,24,30,40,49,52,58,65,68,74,80,80,81,81,81,83,86,89,97,105,114,120,122,124,130,132,142,151,162,170,175,188,195,203,209,
Andhra Pradesh,AP,Chittoor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,8,10,12,13,15,16,17,19,19,21,24,29,33,38,43,44,46,51,59,64,67,68,73,77,84,89,95,101,108,114,117,120,127,135,143,153,161,171,177,189,199,205,215,
Andhra Pradesh,AP,East Godavari,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,4,4,4,5,5,5,5,5,5,5,5,5,5,5,6,6,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,12,17,21,29,34,46,56,65,75,82,96,107,113,122,129,134,148,157,164,172,179,181,188,195,205,212,218,224,228,233,238,248,258,
Andhra Pradesh,AP,Guntur,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,9,9,9,10,10,10,11,11,11,12,14,16,17,17,17,17,18,18,19,19,19,19,20,20,21,24,26,29,29,32,32,32,35,39,47,49,58,63,78,85,88,97,98,98,109,112,121,134,141,149,151,163,179,188,197,211,223,233,242,255,265,275,
Andhra Pradesh,AP,Krishna,8,8,8,8,8,8,8,8,8,9,10,11,11,13,13,13,14,14,14,14,14,15,15,15,15,15,15,16,16,16,16,17,17,17,17,18,18,18,19,20,22,22,23,23,24,24,25,25,27,27,27,27,27,29,31,33,36,37,40,43,45,49,53,58,60,63,66,67,68,68,69,70,70,72,73,75,77,80,83,83,85,85,86,94,101,108,108,118,124,133,139,144,149,153,157,160,161,164,175,178,187,192,198,204,208,212,212,215,217,218,220,
Andhra Pradesh,AP,Kurnool,9,9,9,9,9,10,10,10,10,10,11,12,14,15,16,16,16,17,18,18,19,19,19,20,21,21,21,21,21,21,21,21,22,23,23,23,25,25,26,27,27,27,28,28,28,28,28,28,28,29,30,30,31,31,31,33,34,35,38,42,44,48,52,58,63,65,68,69,73,76,81,81,85,88,91,93,97,101,105,108,113,114,116,116,123,126,130,135,142,150,156,162,164,174,179,187,195,201,207,210,218,221,223,228,238,245,251,254,258,264,276,
Andhra Pradesh,AP,Prakasam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,5,5,5,5,8,11,13,21,26,30,34,34,39,42,45,46,47,48,49,49,53,57,63,65,69,77,78,80,86,93,100,111,122,129,140,146,152,
Andhra Pradesh,AP,S.P.S. Nellore,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6,6,6,6,6,6,6,6,6,6,6,7,9,10,12,12,13,16,18,21,21,21,21,22,22,22,23,28,28,32,37,38,42,44,50,57,64,68,74,83,91,95,100,105,115,121,131,
Andhra Pradesh,AP,Srikakulam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,2,2,2,2,2,2,3,3,6,6,8,8,8,8,9,9,13,14,14,15,16,16,16,24,29,36,39,45,52,55,60,62,63,65,66,70,74,79,86,92,102,104,107,114,122,129,135,144,150,156,
Andhra Pradesh,AP,Visakhapatnam,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,3,3,3,3,3,3,3,3,5,6,7,9,10,10,11,12,15,16,18,22,25,28,30,37,42,51,54,59,62,65,73,81,90,92,100,105,113,120,129,131,143,147,152,157,163,168,175,181,187,193,
Andhra Pradesh,AP,Vizianagaram,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,2,3,3,3,3,3,3,4,7,7,8,9,10,11,13,14,17,18,19,23,28,29,33,36,40,44,51,55,56,58,61,65,66,69,72,75,80,83,88,93,98,103,106,
Andhra Pradesh,AP,West Godavari,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,3,4,4,4,4,4,4,4,4,5,7,8,9,9,10,14,23,32,32,36,41,41,44,50,58,61,66,74,79,88,89,91,92,94,97,99,110,111,114,117,126,136,146,155,161,165,170,180,
Andhra Pradesh,AP,Y.S.R. Kadapa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,2,4,4,4,4,4,4,5,5,7,12,14,18,21,22,25,26,27,28,29,29,29,31,32,33,36,42,43,44,47,49,49,51,54,61,63,71,78,84,91,98,104,
